;exp;edu;hab;v_tit;v_desc;score;training_score;;;;;;;
0;Desenvolvedor Front End,Front End Developer;Produção Multimídia,Design Digital e Multimídia;CSS,HTML5,JavaScript,JQuery,Adobe Photoshop,PHP,Adobe Illustrator,SASS,Bootstrap,HTML,WordPress,Linux,AJAX,JSON,Git,Scrum,LESS,GitHub,GitLab,Kanban,Gulp.js,Adobe After Effects,FTP,CSS Sprites,Compass,Web Design Responsivo,SEO (Otimização de motores de busca);Técnico em Informática; Técnico de informática em campo, Sistemas Operacionais: Linux, Mac OS, Windows Outros programas: Servidores Web, AutoCAD, ERP, Microsoft Project, Servidores de E-mail, Servidores Proxy, Software de Contabilidade., Ensino Médio., Conhecimento em Gráficos/Web: Adobe Ilustrator, Adobe Photoshop.;6;0,4;;;;;;;
1;the same;the same;the same;Programador Front-end Pleno; Programador Front-end para desenvolvimento e manutenção de portais/landing pages, aplicativos, newsletters e outras atividades voltadas a área., Web standards, HTML5, CSS3, Pré-processadores (SASS, Compass), Javascript, jQuery, Desenvolvimento cross-browser, Desenvolvimento responsivo, Conhecimentos em SEO, Photoshop (PSD para HTML), AngularJS 1.x, Wordpress. Conhecimentos em PHP.;8;0,2;;;;;;;
2;the same;the same;the same;Programador Front-end; Atuar com o desenvolvimento de Layouts e código Front End de web sites, adaptação para Layouts responsivos, desejável conhecimento em Framework (Bootstrap, angular JS ou similares). Criar soluções de navegação e usabilidade para a melhor experiência do usuário., HTML 5, CSS 3, Java Script, jQuery, Pré- processadores SASS ou LESS, Ferramentas de edição de imagem como Photoshop, Illustrator, ou similares. Diferencial: angular JS, Node.js, Git,;8;0,2;;;;;;;
3;the same;the same;the same;Desenvolvedor Web Front-end Sênior; Atuar no desenvolvimento de aplicações WEB com especialização em Front-end., Desejável Banco de dados (SQL, MySQL). API (RESTFull, Webservice). HTML avançado. CSS avançado. SEO avançado. JavaScript intermediário. SASS. Bootstrap. WordPress. PHP. Adobe Photoshop, Sketch/Adobe Illustrator. Desenvolvimento de interfaces responsivas com técnicas de cross-browser e cross-device. Utilização de alguma ferramenta de gestão de código e versionamento, como: GIT e ou TFS.;7;0,3;;;;;;;
4;the same;the same;the same;Desenvolvedor Front End; Desenvolver iterações no front end de sistemas web e mobile para clientes da empresa., Experiência com HTML, JavaScript, CSS, JQuery, bootstrap. Responsabilidade e interesse em fazer parte de  empresa com DNA na área de webdesign e front end.;6;0,4;;;;;;;
5;the same;the same;the same;Programador Web Designer; Desenvolvimento de aplicações Web / Desktop. Implementação das funcionalidades levantadas pelo departamento de análise. Integração de Sistemas. Automação de Processos. Desenvolvimento de webservices. Manutenção em aplicações existentes. Análise de causa raiz dos problemas reportados., Ensino Superior., Conhecimento em banco de dados SQL Server, programação ASP, ASP.Net, CSS, Dot Net, Ruby Gráficos/Web: 3ds Max, Adobe Ilustrator e Adobe Photoshop.;7;0,3;;;;;;;
6;the same;the same;the same;Desenvolvedor Front- End Sênior; Atuar no desenvolvimento de aplicações para as mais diversas áreas para cliente de grande porte., Conhecimento avançado em HTML5, CSS3 e Sass, conhecimento de TypeScript, Angular e BootStrap, conhecimento de Bower, NPM e Gulp. Prática de desenvolvimento de Layouts Responsivos, conhecimento dos padrões Web (W3C), integrações entre sistemas via API (REST e WEBSERVICE). Desenvolvimento cross-browser, SEO (Otimizações para mecanismos de busca).;6;0,4;;;;;;;
7;the same;the same;the same;Analista Programador PHP; Desenvolver sistemas de aplicação Web e Mobile voltados para ERPs, NF-e, APIs, utilizando a linguagem PHP, programação orientada a objetos, desenvolvimento de web services. Fazer montagem da estrutura de banco de dados e codificação de programas., Experiência em programação PHP, HTML, CSS, JavaScript, SQL, Wordpress e pacote Adobe. Experiência no desenvolvimento de interfaces responsivas. Experiência em desenvolvimento front- end comprovados em PHP e outras linguagens. Experiência comprovada nas especificações solicitadas.;2;0,8;;;;;;;
8;the same;the same;the same;Programador PHP - Wordpress; Atuar com bootstrap JavaScript JQuery, Banco de dados MySQL, GIT, GitHub (diferencial).;8;0,2;;;;;;;
9;the same;the same;the same;Desenvolvedor Web; Atuar com HTML5, CSS3, Drupal, integração de vídeo e multimídia, Javascript, Design responsivo, JQuery e Node.js., Experiência na área. Ensino Superior.;8;0,2;;;;;;;
