;exp;edu;hab;v_tit;v_desc;score;training_score
0;Analista de Negócios/Test Manager/Test Coordinator,Test Coordinator,Test Analyst,Software Tester,Auxiliar de Gerente de Sustentação,Estágio - Programador/Automação de Testes/Tester,Estágio - Analista de Produção;Bacharelado em Sistema de Informação,Tecnologia da Informação;COBOL,TSO,Testing,Microsoft Office,QC Tools,Test Planning,QC 9.2,Calypso,DASH,ATM networks,SAN,Test Cases,System Testing,User Acceptance Testing,English,Regression Testing,Project Coordination,Testes,QC 11.0,Murex;Desenvolvedor .NET Framework / Front-end; Desenvolvimento de aplicações web utilizando tecnologias HTML5, CSS e JavaScript. Uso de MVC, ASP.Net e Web API. Conhecimento .NET, Framework 4.5 ou superior. Experiência em Test Driven Development (TDD). Experiência em métodos ágeis., Desejável experiência com Design patterns e ambiente cloud. Será um diferencial conhecimento na área de seguros e previdência ou mercado financeiro.;6;0,4
1;the same;the same;the same;Analista Programador .NET; Desenvolvimento, manutenção e análise de sistemas e de negócio;5;0,5
2;the same;the same;the same;Desenvolvedor Calypso SQL; Atuar com as atividades ligadas ao desenvolvimento em Calypso, com FX, NDF, Repo, Bond e SWAP., Experiência na plataforma Calypso.;6;0,4
3;the same;the same;the same;Programador .NET; Atuar com programações em C#, .NET, API / RESTful, MVC / WCF / Windows Service, T-SQL / SQL Server., Desejável conhecimentos em banco não-relacional (ElasticSearch, Mongo, etc), Integration Test / Unit Test, GIT e Scrum.;5;0,5
4;the same;the same;the same;Analista Desenvolvedor .NET; Desenvolvimento, manutenção e análise de sistemas e de negócio, programação orientada a objetos;0;1
5;the same;the same;the same;Analista Desenvolvedor .NET Pleno; Codificar a partir de especificações de software. Codificar testes unitários. Diagnosticar problemas do aplicativo e identificar dificuldades de maneira adequada. Desenvolver seguindo padrões e boas práticas. Dominar linguagem de programação a ser utilizada no projeto. Conhecimento de design patterns. Conhecimento de engenharia de software e processos de desenvolvimento de software. Experiência na implementação de softwares e testes unitários. Conhecimento em modelagem UML. Saber utilizar as seguintes ferramentas: Request Tracker.Repositório de dados, Team Foundation Service, Visual Studio., Ensino Superior cursando em Sistemas de Informação ou similar. Conhecimento em linguagem de programação.NET, SQL, design patterns, engenharia de software e processos de desenvolvimento de software, modelagem UML, Ferramentas de Gestão de Bugs, Repositório de dados, Visual Studio. Team Foundation Server, Asp.Net Web Forms, Asp.Net MVC, VB.NET, C#.NET, Java Script, JQuery, AngularJS. MSSQL Server, Oracle Database, Windows Communication Foundation, Windows Presentation Foundation, Entity Framework, Load Testing, Unit Testing, Performance Testing. Desejáveis certificações nas tecnologias solicitadas.;5;0,5
6;the same;the same;the same;Desenvolvedor Java / TI e Informática; Atuar com desenvolvimento para Desktop e Cloud e conhecer bem sobre Java, Maven, Databases (SQL Server), Tomcat, Eclipse, Unit testing, Distributed version control., Será um diferencial ter conhecimento em Java certification, Javascript (NodeJS, ReactJS, Redux, AngularJs, SQL - Server/MySQL) e Swing.;4;0,6
7;the same;the same;the same;Desenvolvedor Java; Atuar com Java. Maven. Databases (SQL Server). Tomcat. Eclipse. Unit testing. Distributed version control., Java certification. Javascript (NodeJS, ReactJS, Redux, AngularJs, SQL - Server/MySQL). Swing.;4;0,6
8;the same;the same;the same;Desenvolvedor Java; Atuar com Java. Maven. Databases (MySQL and MongoDB). Tomcat. Eclipse. Unit testing. Distributed version control. Devops culture. Cloud architecture. AWS experience. Docker;0;1
9;the same;the same;the same;Estágio em Informática; Atuar como desenvolvedor Asp Script., Ensino Superior cursando em Tecnologia da Informação ou Técnico na área de Tecnologia da Informação., Conhecimento em informática.;4;0,6
0;Big Data Developer,Mobile Developer,Java Software Developer,Intern;Metrocamp - MBA, Software Engineering,Bachelor's degree,Computer Science,Technical Education,Computer Programming;Java,JSP,HTML,CSS,JSF,Banco de dados Oracle,PostgreSQL,MySQL,Bootstrap,JavaScript,SQL,C#,JQuery,Banco de dados,AJAX,Servidor Apache,Node.js,JPA,TDD,Serviços RESTful,JUnit,Hibernate,Spring MVC,Spring Security,ASP.NET MVC,ASP.NET,Ionic Framework,Web Api,Scrum,Thymeleaf,Spring Data,Spring Boot,JSON,ECMAScript 6,Big data,Apache Hadoop,Shell script,AngularJS,React.js,Apache Hive,Greenplum;Desenvolvedor Java Sênior; Atuar com a criação, manutenção e desenvolvimento de softwares utilizando HTML, JavaScript, Java Web, JSF, Spring Framework, Apache Tomcat, Eclipse IDE, XML, JSON, Ajax, jQuery, CSS, HTML5, Hibernate e outros frameworks padrão de mercado., Experiência em desenvolvimento com as tecnologias: Java web, JSF, JSON, XML, integração de desenvolvimento Webservices, HTML, JavaScript, Java Web, JSF, Spring Framework, Apache Tomcat, Eclipse IDE, XML, JSON, Ajax, jQuery, CSS, HTML5, Hibernate e outros frameworks padrão de mercado. Experiência em desenvolvimento Java Web.;7;0,3
1;the same;the same;the same;Desenvolvedor Java Back-end / Front-end Sênior; Atuação com desenvolvimento Java Back-end e Front-end, Angular 1.5, Java Script, banco Oracle, HTML 5, CSS, Spring, Spring Security e Spring Boot.;7;0,3
2;the same;the same;the same;Programador Java; Atuar com desenvolvimento de funcionalidades usando Java, Angular 1.5, Java Script, banco de dados Oracle, HTML 5, CSS, Spring, Spring Security e Spring Boot.;6;0,4
