;exp;edu;hab;v_tit;v_desc;score;training_score
0;Analista de Sistemas S̻nior,Senior Windows Phone Developer,Analista de Desenvolvimento S̻nior,Fundador e Desenvolvedor .NET,L�?der de desenvolvimento,Colaborador,Desenvolvedor .NET S̻nior,Programador Junior;Superior Incompleto,An��lise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,Gesṭo de projetos,ITIL;Desenvolvedor .NET; Microsoft SQL Server, C#, Amazon Web Services, ASP.NET MVC, JavaScript, Web Development, Google Analytics, JQuery, React.js, REST, CSS, Windows Phone, Com̩rcio eletr̫nico, E-commerce, Bootstrap, Scrum, Git, Microsoft Office., Experi̻ncia nas atividades descritas., Tecn�?logo ou Ensino Superior completo na ��rea de Tecnologia.;7;0,3
1;the same;the same;the same;Analista Desenvolvedor .NET; Atuar com desenvolvimento .NET, programa̤̣o, teste e as demais rotinas do cargo., Superior completo ou cursando em Engenharia ou Ci̻ncia da Computa̤̣o Conhecimento das ferramentas: .Net, .Net Core, C#, HTML, Bootstrap, Angular JS, Javascript, JQuery, CSS, ASP.NET, MVC, Web Forms, WCF, Web Services, Windows Forms, Windows Services, Web API, AngularJS, JQuery, Javascript, Ajax e Xamarin. Experi̻ncia em Ionic, IIS, VB6, TFS, Git, SVN, Scrum, Visual Studio, Visual Studio Code, Sharepoint, Azure, AWS, SQL Server, Oracle e MySQL. Desej��vel experi̻ncia em Microsoft Sharepoint e Slack. Desej��vel Ingl̻s fluente.;7;0,3
2;the same;the same;the same;Desenvolvedor e Programador .NET; Linguagem ASP.NET, VB.NET, XML e ADO.NET. Desenvolvimento .NET (preferencialmente VB.NET), tanto em plataforma web (ASP.NET) quanto em plataforma Windows (Windows Forms)., Experi̻ncia com Web Services (cria̤̣o e consumo). Experi̻ncia com .NET 3.5 e Visual Studio. S�?lidos conhecimentos em Orienta̤̣o a Objetos. Experi̻ncia com Mvc, SQL Server (Procedures, Views, Modelagem de Dados, etc.). Habilidades em Arquitetura de software e levantamento de requisitos, conhecimento na metodologia scrum.;6;0,4
3;the same;the same;the same;Desenvolvedor Xamarin S̻nior; Desenvolvimento de aplica̵̤es mobile e desktop em Xamarin., Experi̻ncia com: C#, Xamarin (Windows, iOS, Android), WPF, Xamarin Forms, GIT.;8;0,2
4;the same;the same;the same;Programador .NET S̻nior; Desenvolvimento e manuten̤̣o de sistemas, VB6, .NET, C#, Visual Studio 2012, JavaScript, HTML, CSS e bancos de Dados SQL Server.;8;0,2
5;the same;the same;the same;Desenvolvedor Mobile - Xamarin; Ser�� respons��vel por manter o FRONTEND E BACKEND do aplicativo de gesṭo mobile e desenvolver novas features., Experi̻ncia com Visual Studio. - Experi̻ncia em plataforma .Net, com Linguagem C# (Sharp). - Experi̻ncia em desenvolvimento de aplicativos mobile.Experi̻ncia em desenvolvimento na Plataforma Xamarin para sistemas operacionais iOS e Android., Ensino Superior Incompleto.;7;0,3
6;the same;the same;the same;Analista Desenvolvedor Mobile; Atuar na an��lise e desenvolvimento mobile, participa̤̣o em projetos,, Ensino Superior completo em Tecnologia. Experi̻ncia em desenvolvimento de aplicativos mobile com tecnologias nativas (iOS, Android, Windows Phone) ou h�?bridas (Phonegap, Cordova, Mobile First). ;6;0,4
7;the same;the same;the same;Analista Programador IOS Pleno; Atuar com desenvolvimento de aplicativos mobile com tecnologias nativas (iOS, Android, Windows Phone) ou h�?bridas (phonegap, cordova, Mobile First)., Experi̻ncia nas atividades acima descritas., Ensino Superior completo em completa na ��rea de TI.;9;0,1
8;the same;the same;the same;Desenvolvedor Mobile; Ir�� atuar com manuten̤̣o preventiva, corretiva e evolutiva de aplicativos Android, IOS, Windows Phone, Xamarin C# e APIs.NET j�� desenvolvidos, al̩m da cria̤̣o de novos aplicativos Android, Ios, Windows Phone, Xamarin C# e APIs .NET, criar e dar suporte na cria̤̣o de documenta̤̣o t̩cnica (UML), suporte no controle e manuten̤̣o de IIS, suporte no controle e manuten̤̣o de Banco de Dados SQLServer., Desej��vel experi̻ncia em gesṭo de Servidor Windows Server 2008 R2 Datacenter. Experi̻ncia em programa̤̣o nativa para Android, IOS ou Windows Phone e/ou com Xamarin C# em APIs .NET. , Ensino T̩cnico ou Superior. Desej��vel p�?s- gradua̤̣o., Conhecimento em Ajax, software de controle de verṣo (GIT) e controle de horas. Conhecimentos em MVC, C#, linguagem de diagrama̤̣o (HTML, DHTML), CSS (Cascate Style Sheet), Javascript, XML, an��lise estruturada e orientada a objetos Web Services (API JSON). Diferencial conhecimento em Xamarin C# e Voip Mobile.;9;0,1
9;the same;the same;the same;Analista de Sistemas - Mobile; Atuar na an��lise e desenvolvimento Mobile. Experi̻ncia em desenvolvimento de aplicativos mobile com tecnologias nativas (iOS, Android, Windows Phone) ou h�?bridas (phonegap, cordova, Mobile First). Ensino Superior completo em Tecnologia.;8;0,2
