;exp;edu;hab;v_tit;v_desc;score;training_score;target;target_zero_one;;;;;
0;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Desenvolvedor .NET; Microsoft SQL Server, C#, Amazon Web Services, ASP.NET MVC, JavaScript, Web Development, Google Analytics, JQuery, React.js, REST, CSS, Windows Phone, ComÌ©rcio eletrÌ«nico, E-commerce, Bootstrap, Scrum, Git, Microsoft Office., ExperiÌ»ncia nas atividades descritas., TecnÌ?logo ou Ensino Superior completo na ÌÁrea de Tecnologia.;7;0.3;0,30;0;;;;;
1;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Analista Desenvolvedor .NET; Atuar com desenvolvimento .NET, programaÌ¤Ì£o, teste e as demais rotinas do cargo., Superior completo ou cursando em Engenharia ou CiÌ»ncia da ComputaÌ¤Ì£o Conhecimento das ferramentas: .Net, .Net Core, C#, HTML, Bootstrap, Angular JS, Javascript, JQuery, CSS, ASP.NET, MVC, Web Forms, WCF, Web Services, Windows Forms, Windows Services, Web API, AngularJS, JQuery, Javascript, Ajax e Xamarin. ExperiÌ»ncia em Ionic, IIS, VB6, TFS, Git, SVN, Scrum, Visual Studio, Visual Studio Code, Sharepoint, Azure, AWS, SQL Server, Oracle e MySQL. DesejÌÁvel experiÌ»ncia em Microsoft Sharepoint e Slack. DesejÌÁvel InglÌ»s fluente.;7;0.3;0,30;0;;;;;
2;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Desenvolvedor e Programador .NET; Linguagem ASP.NET, VB.NET, XML e ADO.NET. Desenvolvimento .NET (preferencialmente VB.NET), tanto em plataforma web (ASP.NET) quanto em plataforma Windows (Windows Forms)., ExperiÌ»ncia com Web Services (criaÌ¤Ì£o e consumo). ExperiÌ»ncia com .NET 3.5 e Visual Studio. SÌ?lidos conhecimentos em OrientaÌ¤Ì£o a Objetos. ExperiÌ»ncia com Mvc, SQL Server (Procedures, Views, Modelagem de Dados, etc.). Habilidades em Arquitetura de software e levantamento de requisitos, conhecimento na metodologia scrum.;6;0.4;0,40;0;;;;;
3;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Desenvolvedor Xamarin SÌ»nior; Desenvolvimento de aplicaÌ¤Ìµes mobile e desktop em Xamarin., ExperiÌ»ncia com: C#, Xamarin (Windows, iOS, Android), WPF, Xamarin Forms, GIT.;8;0.2;0,20;0;;;;;
4;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Programador .NET SÌ»nior; Desenvolvimento e manutenÌ¤Ì£o de sistemas, VB6, .NET, C#, Visual Studio 2012, JavaScript, HTML, CSS e bancos de Dados SQL Server.;8;0.2;0,20;0;;;;;
5;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Desenvolvedor Mobile - Xamarin; SerÌÁ responsÌÁvel por manter o FRONTEND E BACKEND do aplicativo de gestÌ£o mobile e desenvolver novas features., ExperiÌ»ncia com Visual Studio. - ExperiÌ»ncia em plataforma .Net, com Linguagem C# (Sharp). - ExperiÌ»ncia em desenvolvimento de aplicativos mobile.ExperiÌ»ncia em desenvolvimento na Plataforma Xamarin para sistemas operacionais iOS e Android., Ensino Superior Incompleto.;7;0.3;0,30;0;;;;;
6;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Analista Desenvolvedor Mobile; Atuar na anÌÁlise e desenvolvimento mobile, participaÌ¤Ì£o em projetos,, Ensino Superior completo em Tecnologia. ExperiÌ»ncia em desenvolvimento de aplicativos mobile com tecnologias nativas (iOS, Android, Windows Phone) ou hÌ?bridas (Phonegap, Cordova, Mobile First). ;6;0.4;0,40;0;;;;;
7;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Analista Programador IOS Pleno; Atuar com desenvolvimento de aplicativos mobile com tecnologias nativas (iOS, Android, Windows Phone) ou hÌ?bridas (phonegap, cordova, Mobile First)., ExperiÌ»ncia nas atividades acima descritas., Ensino Superior completo em completa na ÌÁrea de TI.;9;0.1;0,10;0;;;;;
8;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Desenvolvedor Mobile; IrÌÁ atuar com manutenÌ¤Ì£o preventiva, corretiva e evolutiva de aplicativos Android, IOS, Windows Phone, Xamarin C# e APIs.NET jÌÁ desenvolvidos, alÌ©m da criaÌ¤Ì£o de novos aplicativos Android, Ios, Windows Phone, Xamarin C# e APIs .NET, criar e dar suporte na criaÌ¤Ì£o de documentaÌ¤Ì£o tÌ©cnica (UML), suporte no controle e manutenÌ¤Ì£o de IIS, suporte no controle e manutenÌ¤Ì£o de Banco de Dados SQLServer., DesejÌÁvel experiÌ»ncia em gestÌ£o de Servidor Windows Server 2008 R2 Datacenter. ExperiÌ»ncia em programaÌ¤Ì£o nativa para Android, IOS ou Windows Phone e/ou com Xamarin C# em APIs .NET. , Ensino TÌ©cnico ou Superior. DesejÌÁvel pÌ?s- graduaÌ¤Ì£o., Conhecimento em Ajax, software de controle de versÌ£o (GIT) e controle de horas. Conhecimentos em MVC, C#, linguagem de diagramaÌ¤Ì£o (HTML, DHTML), CSS (Cascate Style Sheet), Javascript, XML, anÌÁlise estruturada e orientada a objetos Web Services (API JSON). Diferencial conhecimento em Xamarin C# e Voip Mobile.;9;0.1;0,10;0;;;;;
9;Analista de Sistemas SÌ»nior,Senior Windows Phone Developer,Analista de Desenvolvimento SÌ»nior,Fundador e Desenvolvedor .NET,LÌ?der de desenvolvimento,Colaborador,Desenvolvedor .NET SÌ»nior,Programador Junior;Superior Incompleto,AnÌÁlise e Desenvolvimento de Sistemas,Processamento de Dados;Xamarin,.NET,Windows Phone,Silverlight,Microsoft .NET,Android,Visual Basic,Sistemas operacionais,Windows Azure,WPF,Visual C#,Microsoft SQL Server,Mobile Applications,VB.NET,iPhone,PostgreSQL,Java,Windows 8,Scrum,Objective-C,GestÌ£o de projetos,ITIL;Analista de Sistemas - Mobile; Atuar na anÌÁlise e desenvolvimento Mobile. ExperiÌ»ncia em desenvolvimento de aplicativos mobile com tecnologias nativas (iOS, Android, Windows Phone) ou hÌ?bridas (phonegap, cordova, Mobile First). Ensino Superior completo em Tecnologia.;8;0.2;0,20;0;;;;;
0;Analista de desenvolvimento web,Desenvolvedor Front-End,Desenvolvedor Front-End,Instrutor Web;TecnÌ?logo,Sistemas para Internet,Sistema de InformaÌ¤Ì£o;HTML5,CSS,XHTML,WordPress,JavaScript,HTML,Adobe Photoshop,Adobe Dreamweaver,PHP,JQuery,Web Development,Git,Scrum,Google Analytics,MySQL,Dreamweaver,Front-end,Web design,User Interface Design,sass,less,Microsoft Excel,Linux,AJAX,GitHub,Microsoft Office,SQL,Desenvolvimento de sites,Sistema front-end,Desenvolvimento de interfaces,Design de interface do usuÌÁrio,ExperiÌ»ncia do usuÌÁrio,SEO (OtimizaÌ¤Ì£o de motores de busca),Aplicativos web,Metodologias ÌÁgeis;Programador em PHP / Bootstrat e Jquery; Desenvolvimento de e-commerce para o sistema de LojasVirtuais-BR, utilizando as linguagens de programaÌ¤Ìµes PHP, MySQL, JavaScritp, jQuery, HTML, CSS, Bootstrap, entre outras., Ensino TÌ©cnico. ExperiÌ»ncia com programaÌ¤Ì£o em HTML, JavaScript, jQuery e PHP. Habilidades com grÌÁficos / Web, como: Adobe Photoshop e Macromedia Dreamweaver.;8;0.2;0,20;0;;;;;
1;Analista de desenvolvimento web,Desenvolvedor Front-End,Desenvolvedor Front-End,Instrutor Web;TecnÌ?logo,Sistemas para Internet,Sistema de InformaÌ¤Ì£o;HTML5,CSS,XHTML,WordPress,JavaScript,HTML,Adobe Photoshop,Adobe Dreamweaver,PHP,JQuery,Web Development,Git,Scrum,Google Analytics,MySQL,Dreamweaver,Front-end,Web design,User Interface Design,sass,less,Microsoft Excel,Linux,AJAX,GitHub,Microsoft Office,SQL,Desenvolvimento de sites,Sistema front-end,Desenvolvimento de interfaces,Design de interface do usuÌÁrio,ExperiÌ»ncia do usuÌÁrio,SEO (OtimizaÌ¤Ì£o de motores de busca),Aplicativos web,Metodologias ÌÁgeis;Desenvolvedor .NET; Microsoft SQL Server, C#, Amazon Web Services, ASP.NET MVC, JavaScript, Web Development, Google Analytics, JQuery, React.js, REST, CSS, Windows Phone, ComÌ©rcio eletrÌ«nico, E-commerce, Bootstrap, Scrum, Git, Microsoft Office., ExperiÌ»ncia nas atividades descritas., TecnÌ?logo ou Ensino Superior completo na ÌÁrea de Tecnologia.;6;0.4;0,40;0;;;;;
2;Analista de desenvolvimento web,Desenvolvedor Front-End,Desenvolvedor Front-End,Instrutor Web;TecnÌ?logo,Sistemas para Internet,Sistema de InformaÌ¤Ì£o;HTML5,CSS,XHTML,WordPress,JavaScript,HTML,Adobe Photoshop,Adobe Dreamweaver,PHP,JQuery,Web Development,Git,Scrum,Google Analytics,MySQL,Dreamweaver,Front-end,Web design,User Interface Design,sass,less,Microsoft Excel,Linux,AJAX,GitHub,Microsoft Office,SQL,Desenvolvimento de sites,Sistema front-end,Desenvolvimento de interfaces,Design de interface do usuÌÁrio,ExperiÌ»ncia do usuÌÁrio,SEO (OtimizaÌ¤Ì£o de motores de busca),Aplicativos web,Metodologias ÌÁgeis;Programador PHP/WEB; ManutenÌ¤Ì£o e desenvolvimento de websites em HTML5, CSS3, PHP, MySQL, jQuery, Bootstrap, entre outros., Ensino Superior., SQL Server, C++, CSS, HTML, Java, jQuery, PHP, GrÌÁficos/Web: Adobe Photoshop, Macromedia Dreamweaver, Microsoft Excel, Linux, Mac OS e Servidores Web.;7;0.3;0,30;0;;;;;
3;Analista de desenvolvimento web,Desenvolvedor Front-End,Desenvolvedor Front-End,Instrutor Web;TecnÌ?logo,Sistemas para Internet,Sistema de InformaÌ¤Ì£o;HTML5,CSS,XHTML,WordPress,JavaScript,HTML,Adobe Photoshop,Adobe Dreamweaver,PHP,JQuery,Web Development,Git,Scrum,Google Analytics,MySQL,Dreamweaver,Front-end,Web design,User Interface Design,sass,less,Microsoft Excel,Linux,AJAX,GitHub,Microsoft Office,SQL,Desenvolvimento de sites,Sistema front-end,Desenvolvimento de interfaces,Design de interface do usuÌÁrio,ExperiÌ»ncia do usuÌÁrio,SEO (OtimizaÌ¤Ì£o de motores de busca),Aplicativos web,Metodologias ÌÁgeis;Designer de Interface; Desenvolvimento de front-end (HTML / CSS e JavaScript) de interfaces digitais, aplicativos web, sistemas, etc. Desenvolvimento de sites, landpages e tÌ©cnicas em framework front-end Bootstrap. CriaÌ¤Ì£o de protÌ?tipos, programaÌ¤Ì£o front-end (HTML / CSS e Javascript), diagramaÌ¤Ì£o de materiais e projetos educativos, objetos de aprendizagem e jogos., ExperiÌ»ncia com desenvolvimento de interfaces digitais, visÌ£o de UX / UI, usabilidade e arquitetura de informaÌ¤Ì£o. DomÌ?nio em desenvolvimento web com HTML, CSS e JavaScript (jQuery, AngularJS), PHP, UI / UX design, metodologias ÌÁgeis, design print, design thinking e outros.;6;0.4;0,40;0;;;;;
